,Date,Open,High,Low,Close,Volume,Adj Close,Years Since 2009,Daily Avg,Daily Range
232,2009-01-30,344.690581,348.800602,336.000584,338.530574,9378900,169.096191,0.0794520547945,342.400593,12.800018
233,2009-01-29,344.540576,345.050599,340.110574,343.320595,14622100,171.488809,0.0767123287671,342.5805865,4.940025
234,2009-01-28,337.980576,352.330605,336.31058,348.670599,15440300,174.161139,0.0739726027398,344.3205925,16.020025
235,2009-01-27,326.450562,333.870587,324.270543,331.480554,9891400,165.574702,0.0712328767124,329.070565,9.600044
236,2009-01-26,324.85056,328.000573,320.560546,323.87055,9255900,161.773501,0.0684931506848,324.2805595,7.440027
237,2009-01-23,309.270534,331.960558,304.220509,324.700555,21545900,162.188089,0.0602739726028,318.0905335,27.740049
238,2009-01-22,298.040499,309.350545,295.150521,306.500511,16595900,153.097158,0.0575342465754,302.250533,14.200024
239,2009-01-21,288.350489,303.500534,288.350489,303.080507,9885800,151.388865,0.0547945205481,295.9255115,15.150045
240,2009-01-20,299.140525,299.500513,282.750497,282.750497,10134100,141.234014,0.0520547945205,291.125505,16.750016
241,2009-01-16,305.020525,308.250518,295.700519,299.670521,10487900,149.685575,0.041095890411,301.9755185,12.549999
242,2009-01-15,297.570512,303.580514,286.790492,298.99052,11913400,149.345914,0.0383561643835,295.185503,16.790022
243,2009-01-14,310.000525,313.80055,297.750506,300.970513,10976700,150.334921,0.0356164383561,305.775528,16.050044
244,2009-01-13,311.770535,320.600551,310.390532,314.320528,8898100,157.003261,0.0328767123287,315.4955415,10.210019
245,2009-01-12,316.310537,318.950558,310.230541,312.690537,6633300,156.18908,0.0301369863014,314.5905495,8.720017
